Hours,Attendance,Previous Marks,Assignments,Final Marks
8.2,62.9,93.7,60.0,76.3
1.7,58.2,75.4,46.4,45.9
9.9,66.5,85.8,54.3,80.9
8.0,87.8,54.5,97.0,82.1
2.8,76.0,75.6,58.3,62.8
1.0,60.2,70.7,50.1,43.4
8.3,93.9,71.2,67.6,84.8
7.4,94.0,76.0,58.4,78.0
7.6,93.5,69.5,42.1,72.8
7.9,61.9,60.7,59.4,71.7
1.7,72.6,51.6,72.6,47.2
4.2,99.2,81.1,73.1,80.1
2.0,88.6,48.6,61.4,41.3
8.8,51.4,76.5,66.8,71.5
6.6,53.3,49.0,97.9,62.5
4.0,73.2,72.5,62.6,62.0
1.6,95.5,79.8,55.5,63.3
3.8,76.9,48.1,54.6,51.2
3.9,74.9,38.6,67.5,43.2
7.6,55.3,42.9,85.6,67.6
6.7,82.8,71.4,52.4,73.1
9.0,91.1,86.0,82.6,78.2
5.2,69.0,37.7,41.3,49.5
2.1,88.8,79.0,65.1,50.6
7.4,98.2,55.5,86.6,71.9
7.8,60.2,63.7,60.3,63.0
6.1,76.2,90.7,73.8,78.9
7.9,64.4,54.9,52.3,65.4
5.4,89.6,62.9,84.5,61.9
5.7,78.9,35.8,43.1,57.3
4.8,81.7,39.9,91.2,51.6
1.2,89.9,50.5,51.9,46.8
2.0,69.8,36.7,92.5,41.8
1.3,95.8,72.9,61.2,52.9
6.7,76.7,60.6,83.4,72.0
3.8,57.9,67.9,59.2,56.7
5.6,84.8,45.5,94.4,71.1
9.2,89.7,52.8,47.6,72.7
3.2,65.8,74.8,50.7,55.9
4.7,92.9,92.9,69.6,71.2
7.8,95.3,38.0,44.9,65.4
3.1,63.8,88.4,51.8,60.1
1.7,99.2,69.6,96.6,60.7
3.6,57.0,68.8,98.6,50.4
2.5,60.1,65.0,62.6,51.3
9.4,59.2,39.2,95.4,72.6
8.3,94.7,40.4,72.7,67.6
6.7,82.7,71.1,56.2,63.3
8.8,57.6,55.5,82.1,78.7
8.2,72.0,90.0,79.5,84.5
2.7,80.8,59.4,99.3,57.2
9.0,54.2,43.6,55.9,58.1
5.9,94.1,77.9,80.3,70.8
8.3,90.2,52.6,43.1,75.8
9.1,75.3,66.5,46.8,74.6
3.9,98.4,76.9,40.2,59.7
2.0,70.9,89.0,100.0,65.4
3.1,99.2,82.5,88.1,64.6
4.8,83.4,75.6,87.2,76.7
8.4,81.7,75.8,70.6,85.8
8.7,58.3,91.8,58.0,76.0
1.1,94.1,52.7,49.1,42.7
5.6,71.4,35.1,57.1,39.9
4.8,58.1,51.3,62.6,45.8
3.0,50.6,48.1,85.4,41.2
2.1,78.0,74.7,72.4,56.9
4.0,76.4,73.0,44.6,56.2
9.5,86.0,70.6,41.1,71.1
3.9,94.5,36.0,46.1,48.9
5.7,54.0,78.7,64.6,66.6
7.3,86.6,54.4,96.0,76.2
4.3,59.4,74.9,78.2,51.6
9.7,92.9,68.4,88.1,85.6
9.7,91.0,55.6,68.0,72.1
3.3,77.0,43.1,61.7,53.6
5.5,85.5,40.7,46.5,59.5
3.7,65.7,84.9,92.6,61.0
3.6,73.6,90.1,87.0,63.6
1.3,91.1,74.0,50.1,50.2
6.5,73.0,41.2,70.7,49.1
5.5,67.9,59.1,69.2,62.6
1.5,74.7,78.7,77.5,54.1
3.5,91.4,81.8,96.8,74.4
9.2,66.8,42.1,74.8,63.9
3.2,58.7,35.0,72.4,41.2
2.3,85.6,77.7,43.0,47.4
5.4,91.3,56.4,43.8,55.6
9.9,55.0,50.3,51.2,62.5
3.2,62.0,35.8,41.9,45.6
7.0,57.1,67.4,84.6,65.3
7.9,67.4,86.1,83.4,80.1
3.1,72.5,92.5,48.2,58.4
7.6,87.4,68.9,90.2,71.9
4.3,82.6,65.9,49.3,57.9
6.7,81.0,40.1,58.1,63.4
6.7,67.6,67.9,54.9,59.5
5.8,92.1,57.8,62.3,69.5
1.8,73.6,71.4,55.3,46.5
8.5,99.0,58.3,69.3,75.0
3.9,81.7,49.4,64.4,57.1
2.7,56.3,40.7,99.2,44.5
1.4,83.8,53.9,43.4,44.5
6.3,66.3,40.8,48.5,53.3
7.1,84.3,45.6,43.2,62.5
1.1,53.5,94.2,77.6,42.5
5.6,58.7,61.6,43.3,47.2
3.0,92.8,66.9,90.2,65.7
6.8,61.4,87.4,70.7,78.1
2.6,91.9,94.7,71.6,62.1
7.2,64.0,70.0,73.7,68.8
4.5,82.1,83.7,50.2,66.3
9.4,84.7,54.6,51.9,77.5
2.2,75.6,53.3,59.1,37.5
4.1,65.3,59.2,75.6,52.1
2.0,60.6,75.4,52.6,48.0
9.3,51.7,75.9,47.0,76.2
8.9,65.2,53.9,98.2,87.6
3.3,82.7,43.0,41.3,46.0
6.9,96.9,72.9,88.2,71.6
8.4,93.6,42.7,87.3,76.0
6.0,88.3,69.7,57.8,74.8
5.8,89.4,76.6,48.1,68.9
3.2,83.2,77.0,48.7,53.7
1.8,63.0,80.2,81.8,60.0
9.1,95.4,87.4,78.6,92.3
9.1,83.5,65.0,87.0,76.0
6.7,78.0,78.8,96.2,79.0
4.1,55.5,72.2,81.5,64.3
4.1,72.4,46.2,49.4,56.0
7.5,73.0,36.5,54.6,59.7
9.1,93.2,52.1,90.5,77.9
9.0,77.3,61.6,52.6,79.5
8.0,69.0,72.0,44.4,64.0
6.8,98.8,86.0,82.2,83.9
1.8,55.5,46.8,64.2,34.2
2.5,71.1,42.5,95.2,55.3
9.1,52.1,92.8,79.0,80.7
6.5,87.0,41.5,45.4,65.8
1.1,95.9,63.7,96.9,59.1
1.9,64.0,70.1,55.5,42.7
7.0,92.9,67.5,60.2,79.5
1.0,64.6,40.2,64.1,45.9
2.4,95.5,38.4,43.1,49.9
5.9,87.7,41.3,69.8,57.2
7.2,90.2,70.1,47.4,69.8
6.9,50.9,67.7,64.1,65.0
3.0,98.1,49.0,61.0,50.5
7.4,86.3,73.3,86.4,86.6
3.1,65.2,84.2,88.2,63.1
3.9,91.5,37.5,49.2,37.1
7.7,64.1,64.9,62.0,70.2
6.8,93.6,76.4,62.4,73.1
8.6,55.6,50.1,49.1,63.2
6.9,85.2,53.5,87.9,68.6
6.1,77.0,71.8,82.4,74.7
1.8,54.8,88.9,51.4,57.2
4.3,62.1,83.6,62.0,63.3
3.4,50.6,70.0,46.3,48.3
3.2,73.4,78.8,77.7,61.0
9.8,65.1,56.9,47.3,71.6
4.5,79.9,73.5,99.2,64.6
9.0,64.9,63.0,86.8,79.3
6.7,65.0,46.4,63.4,62.2
8.2,87.2,77.1,74.7,88.2
5.5,52.4,68.4,94.7,70.7
6.2,95.1,56.5,73.2,65.2
5.4,92.6,89.7,50.5,76.0
2.8,83.4,36.3,62.7,42.0
7.5,79.7,53.9,90.6,75.4
3.5,94.6,38.4,78.7,51.9
1.2,59.3,81.0,79.0,47.1
6.8,53.9,77.1,92.0,72.9
2.6,62.0,54.9,93.6,38.6
9.5,89.7,75.5,95.2,79.4
9.6,51.7,58.8,45.7,67.5
9.2,79.1,80.4,72.6,83.4
4.3,99.8,62.3,84.4,64.5
1.1,92.8,59.7,85.4,45.2
9.4,76.1,91.1,76.4,82.8
4.9,53.2,50.1,50.0,52.3
9.7,91.6,42.2,87.8,81.0
9.7,79.9,70.1,83.2,83.4
8.7,55.7,93.2,45.2,82.1
3.7,54.7,57.7,67.8,53.4
4.5,95.5,38.7,50.4,50.3
8.7,83.5,55.4,60.2,71.4
3.9,91.5,65.4,41.1,50.7
2.5,93.9,44.7,64.0,50.0
6.0,78.6,74.5,73.0,75.6
9.4,75.9,94.9,77.2,91.6
7.3,71.5,62.1,79.8,77.5
6.1,65.8,56.3,90.2,63.4
1.9,71.7,59.0,52.9,53.4
6.5,88.7,41.9,47.2,59.2
9.9,80.1,88.0,91.1,98.1
2.3,94.6,59.9,49.4,52.2
5.7,72.2,58.2,98.5,70.2
8.9,80.4,74.6,90.6,90.6
7.7,81.6,61.5,70.1,71.3
7.3,79.6,73.9,98.9,79.6
7.3,85.1,38.7,45.8,67.5
4.2,61.9,83.8,58.2,60.3
3.6,75.6,91.4,78.3,60.3
8.3,55.2,73.9,61.0,82.1
8.3,69.2,92.3,95.7,82.6
8.8,74.4,44.1,43.9,66.3
9.2,82.6,63.6,73.0,84.5
5.6,97.5,71.1,75.5,68.7
5.5,80.0,69.9,79.2,63.1
8.2,87.2,59.1,55.3,73.4
6.8,75.3,55.3,61.9,55.8
7.3,81.7,42.6,90.6,66.8
8.2,53.5,58.5,51.7,65.9
9.0,62.7,44.8,89.6,69.6
4.0,68.1,79.1,73.8,54.7
4.4,73.6,47.5,85.7,65.2
1.8,52.3,38.5,82.8,41.2
6.2,57.0,68.1,52.5,68.6
1.3,63.8,70.7,74.1,48.3
5.2,98.6,87.3,92.1,73.5
5.9,66.6,69.6,65.9,66.1
3.6,74.1,55.7,98.0,57.8
6.3,59.8,83.2,67.1,63.1
1.3,80.5,67.4,48.6,55.5
1.3,64.0,39.8,63.4,35.7
8.4,60.3,69.0,97.1,67.5
4.2,75.8,89.5,59.2,72.2
2.1,50.3,58.8,92.1,46.3
5.7,50.4,52.8,92.9,56.8
7.9,61.0,43.6,61.0,53.3
2.9,51.8,44.1,45.0,49.2
6.6,55.4,61.0,83.5,58.6
1.8,66.9,70.7,58.7,50.0
1.5,90.1,39.8,87.0,52.8
5.8,78.6,91.4,66.6,75.5
5.9,75.6,80.3,69.1,69.9
6.7,64.7,70.2,86.7,61.9
7.5,96.6,84.7,62.9,76.4
9.8,69.9,39.8,66.6,71.1
5.6,54.4,63.6,62.6,55.0
3.9,80.9,72.8,62.0,62.0
8.2,55.7,84.7,71.6,79.4
3.4,67.3,82.0,88.5,68.0
5.0,75.4,51.6,61.7,51.2
1.7,93.7,91.5,71.5,73.8
1.2,74.7,42.5,80.2,47.8
9.7,85.1,87.5,56.2,85.6
8.5,99.6,93.3,56.7,91.6
7.3,56.6,45.6,96.0,76.8
4.7,63.7,78.3,83.4,58.0
2.6,69.7,37.4,74.6,44.3
2.4,71.1,59.3,78.9,40.4
3.3,70.6,66.0,41.8,52.7
5.9,95.4,69.8,77.1,74.1
7.4,85.7,91.2,70.6,80.8
6.9,80.4,75.3,72.7,70.5
3.5,65.5,63.9,61.6,43.5
9.6,91.2,83.6,44.9,85.5
7.6,97.8,92.0,51.6,88.8
6.0,91.1,36.3,97.0,61.7
6.5,50.1,94.0,64.5,72.8
4.8,81.8,40.2,68.0,47.6
3.2,52.6,83.9,43.2,55.7
4.2,62.9,51.8,42.3,47.2
7.8,53.0,42.9,83.0,59.4
1.1,80.2,61.4,72.3,45.4
2.0,84.3,73.6,70.5,54.5
1.4,55.7,57.9,54.6,43.5
1.4,69.2,38.3,84.7,36.4
8.7,72.8,71.0,50.1,71.8
7.3,68.5,89.1,51.4,73.5
5.3,56.1,58.0,67.6,51.8
1.9,70.9,48.0,57.2,52.8
5.4,87.6,61.6,54.8,58.9
5.3,53.6,37.9,78.7,49.1
2.6,54.0,84.2,79.1,52.1
4.9,67.7,84.6,89.5,78.5
4.6,97.1,70.3,65.1,69.1
6.5,83.4,56.2,44.4,58.3
6.7,83.9,83.0,56.4,79.1
1.4,68.1,68.3,98.8,54.8
4.4,79.7,84.6,75.8,69.4
6.6,50.5,72.9,82.6,65.7
5.5,81.8,82.1,40.4,62.6
8.7,95.7,70.9,71.1,83.2
6.9,80.6,59.8,42.3,61.8
2.5,93.7,92.5,74.2,75.5
1.6,86.2,67.5,95.2,51.0
6.8,56.0,71.3,98.1,78.8
1.2,95.1,48.2,72.4,48.0
6.3,53.3,72.5,67.5,66.1
9.5,76.7,69.3,96.7,88.1
6.2,57.1,46.1,80.4,55.9
4.5,50.6,38.6,43.9,48.4
6.8,71.1,71.3,67.9,56.1
5.1,64.8,80.8,54.4,59.6
5.9,74.3,66.4,68.2,61.0
9.5,78.9,48.6,67.3,67.4
4.5,52.2,75.0,74.9,58.9
9.7,56.2,39.8,61.4,68.3
9.1,77.9,61.5,49.9,76.9
2.8,67.2,44.8,70.2,48.4
1.6,86.5,46.1,89.8,46.9
1.9,82.6,47.1,79.8,51.1
1.2,92.3,58.2,60.3,49.8
1.8,84.6,38.1,96.1,53.7
7.1,71.5,58.9,94.7,74.9
1.6,83.6,65.7,52.6,50.1
3.9,63.8,64.0,42.4,47.5
8.6,65.3,58.0,84.5,70.0
1.2,89.4,85.3,89.7,58.4
8.3,72.3,43.7,98.1,69.8
3.5,89.9,65.3,93.4,65.2
2.1,91.1,38.7,76.0,52.2
7.3,92.9,39.3,71.8,66.4
6.7,95.8,69.4,41.7,69.8
8.9,71.5,69.0,54.8,75.1
7.6,65.9,87.7,67.6,73.7
8.2,79.1,68.5,77.7,72.1
3.5,68.6,92.6,73.4,56.0
2.6,80.1,37.9,84.6,45.7
7.8,85.3,40.9,56.8,67.5
8.3,84.4,37.6,73.9,64.8
9.9,68.7,46.1,45.3,67.8
4.7,58.3,67.5,64.8,60.4
4.3,71.5,73.7,85.0,66.8
8.0,57.1,37.7,81.6,57.6
4.1,94.5,91.8,99.4,80.7
9.4,67.3,85.5,56.7,86.2
8.7,57.7,52.8,69.9,62.7
4.9,51.3,39.6,59.8,44.1
7.8,82.3,45.2,66.4,73.2
7.8,81.8,42.6,91.4,69.4
1.9,67.0,42.4,81.1,33.8
9.1,53.6,66.1,92.9,69.3
5.5,70.5,49.8,52.2,54.9
8.4,65.6,56.5,92.4,67.5
3.9,83.9,94.4,43.6,63.2
9.1,80.3,76.1,93.3,84.9
4.5,68.2,91.9,59.7,73.2
1.1,60.9,43.6,58.9,36.5
9.1,99.4,57.9,70.7,85.1
1.8,72.7,68.3,96.4,62.9
3.9,84.4,39.6,42.9,56.0
9.6,57.0,35.3,61.1,66.2
9.6,74.3,75.2,91.4,74.9
6.2,51.4,73.5,63.8,65.9
6.7,75.3,59.6,51.9,69.4
5.0,98.2,64.4,65.5,65.9
3.6,69.2,59.9,63.1,62.6
4.0,51.9,36.4,94.9,53.8
7.1,51.5,55.1,85.7,67.4
7.8,69.4,45.6,70.3,70.8
8.1,58.0,40.9,99.3,68.8
8.1,51.2,92.4,67.9,64.0
1.8,87.8,71.0,43.5,49.2
5.4,72.9,78.7,55.7,71.4
1.5,64.5,53.9,66.2,40.2
5.9,95.0,58.6,49.4,63.5
5.0,55.8,49.2,96.9,52.7
9.0,97.8,40.8,86.0,85.1
4.2,65.7,45.7,56.1,58.4
2.1,94.4,82.9,75.4,58.0
2.3,80.1,75.7,83.3,60.0
7.9,91.3,67.8,96.5,77.3
6.6,99.2,63.5,92.9,79.0
1.9,64.4,90.3,70.9,59.8
1.8,98.1,39.4,86.5,54.8
7.3,69.5,51.8,73.7,67.7
1.7,69.3,56.0,73.2,62.3
8.4,67.0,81.9,46.9,69.3
7.4,77.1,94.6,47.6,68.3
1.7,57.7,49.4,71.8,41.1
1.8,77.7,87.5,56.1,48.7
9.9,77.1,84.8,41.3,74.2
4.4,88.1,48.5,83.4,55.1
4.3,91.7,59.0,41.9,52.8
8.3,72.0,59.6,75.7,67.9
9.5,65.1,93.7,72.4,87.8
9.9,63.0,45.9,98.1,73.2
7.8,59.7,82.9,69.1,73.6
4.4,52.9,55.1,43.8,53.6
1.8,67.1,78.9,73.1,50.5
8.0,63.5,60.2,90.5,71.0
6.0,98.3,69.7,99.8,78.4
4.8,77.9,85.0,65.8,58.0
9.2,67.4,83.2,59.2,67.6
2.0,79.0,87.0,94.4,64.8
5.4,57.0,38.6,51.5,52.1
1.1,72.2,76.5,76.9,63.1
5.2,81.3,43.4,64.3,57.9
1.5,74.4,59.9,42.5,48.6
2.1,70.1,67.9,60.8,49.9
2.1,99.7,59.2,55.9,54.9
6.8,94.0,66.2,81.2,83.0
7.7,81.2,94.8,96.9,75.5
6.3,78.5,43.1,56.1,61.2
9.7,81.0,75.5,88.7,96.8
4.4,60.1,58.8,43.3,53.0
3.6,69.8,43.0,72.3,58.6
8.8,52.0,44.5,44.2,58.0
3.0,73.8,92.0,96.0,67.1
9.7,77.2,87.8,86.0,88.8
1.1,61.4,89.4,79.5,43.8
9.7,98.2,94.5,89.4,89.5
1.4,95.5,47.5,78.9,44.6
9.0,86.1,56.3,98.1,84.4
5.7,76.7,75.2,82.8,74.6
9.9,93.5,64.0,95.5,88.5
1.7,56.5,60.1,71.0,50.1
6.0,89.5,56.5,47.0,62.1
9.7,56.2,70.6,71.7,83.1
5.7,89.7,69.5,47.6,65.9
6.7,63.8,44.7,75.5,61.2
7.3,93.9,63.3,68.9,72.3
5.1,97.2,68.2,77.4,72.8
6.6,57.4,69.2,40.6,59.3
6.3,73.1,47.6,51.7,63.6
9.1,99.0,79.5,69.5,80.3
1.4,74.2,36.5,97.0,39.7
3.5,93.2,56.3,63.0,60.7
9.6,79.4,81.8,65.5,83.4
9.0,68.8,68.8,82.9,76.1
5.1,64.3,50.7,76.2,61.8
6.6,60.2,76.7,57.9,63.8
3.5,88.1,69.0,64.6,59.3
2.7,69.3,82.8,53.1,63.1
5.2,75.6,79.1,98.0,79.4
4.2,74.6,71.6,47.8,66.1
6.3,78.9,64.3,62.3,65.1
1.7,93.3,43.0,41.6,49.9
9.8,99.0,50.7,53.3,72.6
9.9,70.4,60.1,86.8,75.2
7.3,91.4,71.0,52.1,61.2
5.8,88.2,65.8,44.8,72.8
3.8,78.7,52.3,68.5,50.7
8.3,97.8,35.4,40.6,64.7
7.2,60.0,64.8,45.1,58.9
2.5,55.5,52.1,88.5,52.2
9.2,92.7,79.1,86.3,85.5
8.4,72.0,36.4,94.9,62.4
9.5,92.3,70.1,91.3,88.6
7.5,94.7,91.5,81.0,77.6
6.5,53.1,45.5,43.1,49.3
4.8,94.2,63.3,87.0,57.1
9.4,72.4,40.5,90.7,66.0
8.8,75.5,72.5,87.9,81.7
1.4,81.3,68.0,70.5,42.3
1.2,96.3,59.4,54.0,42.0
4.4,51.0,66.3,90.7,59.1
8.3,73.8,88.8,83.6,80.3
9.9,84.4,46.8,98.8,90.4
2.4,86.1,36.4,49.3,53.1
6.3,84.6,86.7,53.5,68.7
4.4,56.7,69.6,52.7,58.3
9.7,65.0,88.4,87.6,90.4
8.6,67.9,70.8,51.2,69.6
8.5,90.2,83.6,44.0,72.0
5.2,63.9,60.8,99.9,64.1
4.7,60.5,80.0,41.5,57.9
3.5,97.9,89.8,90.1,70.1
1.5,50.4,69.3,61.9,47.6
8.8,99.9,45.8,90.5,74.3
8.3,83.8,51.1,73.3,66.4
10.0,91.4,46.9,94.1,82.0
10.0,64.7,49.8,95.6,79.1
6.0,50.7,53.4,40.5,47.4
7.9,86.9,68.3,44.5,76.8
9.5,91.7,70.3,55.0,72.1
8.6,87.0,60.6,80.2,74.8
3.2,57.1,71.9,93.3,56.9
5.1,87.7,39.9,67.6,54.3
2.2,88.4,40.3,76.4,46.1
9.6,82.9,45.3,51.3,80.8
6.5,88.3,66.1,88.3,69.2
3.1,92.3,47.8,98.0,70.6
7.0,80.7,52.0,56.1,66.8
6.6,54.4,59.0,69.7,62.6
4.2,74.4,83.7,45.2,63.9
2.0,53.9,35.8,73.5,52.2
7.0,70.4,74.0,70.2,66.3
5.7,70.4,75.1,48.7,58.3
8.0,53.3,82.9,66.5,69.7
5.7,67.4,91.0,60.0,69.9
8.7,55.5,36.2,71.3,54.5
6.0,90.4,44.2,75.1,63.7
6.0,97.4,88.2,40.5,81.5
8.9,53.6,62.5,85.7,74.2
4.6,97.8,68.9,82.8,67.3
2.2,76.1,74.8,62.0,51.6
1.3,65.0,75.7,43.2,51.2
7.8,53.8,90.9,85.3,74.0
6.6,75.0,94.8,97.3,90.4
7.3,89.7,78.2,54.4,84.8
2.9,85.4,52.2,59.4,53.1
2.2,52.5,87.8,51.0,52.1
1.1,53.6,38.0,74.6,42.3
4.2,70.1,48.9,49.3,56.3
6.3,64.8,88.8,61.4,66.8
4.5,61.6,50.4,81.8,52.8
4.9,64.1,48.2,73.6,48.9
9.1,90.2,43.3,63.2,74.4
4.1,96.5,86.5,65.2,72.7
5.6,70.3,65.0,73.7,57.5
8.1,95.3,75.5,40.4,73.8
4.6,66.1,49.3,44.7,44.1
6.6,73.8,80.5,92.9,71.5
8.8,61.3,80.6,44.7,76.7
9.5,82.0,53.8,82.4,74.5
2.3,98.9,59.6,95.2,58.5
9.3,80.2,47.6,56.2,63.2
5.4,67.9,93.6,62.2,70.8
3.3,82.4,73.7,74.1,61.0
5.1,56.1,91.1,92.9,66.7
9.8,94.4,53.2,96.5,82.7
5.4,75.2,81.9,84.4,72.1
4.0,72.5,81.0,45.2,55.5
6.7,79.3,76.5,80.1,66.9
3.2,81.2,92.9,64.6,74.0
1.7,53.6,58.6,68.2,41.3
2.2,84.1,42.8,42.9,43.3
2.2,62.1,75.3,51.5,55.5
2.4,85.7,78.8,87.4,79.9
2.2,91.1,69.5,67.2,50.6
6.8,90.2,47.4,58.1,67.0
2.6,77.6,65.3,63.0,50.1
4.1,76.0,53.7,91.3,56.7
9.1,57.1,60.6,84.9,70.6
5.3,88.8,73.7,56.3,61.2
7.0,63.6,79.7,47.1,68.0
2.6,74.8,48.9,55.1,39.6
2.7,64.2,59.3,95.2,59.1
1.4,56.7,51.1,74.9,43.1
2.5,81.5,46.9,72.0,52.0
3.5,52.7,82.0,75.8,56.4
2.6,87.4,89.6,62.0,60.9
1.8,65.9,57.2,88.4,51.3
2.1,50.0,80.1,71.4,46.3
5.1,75.6,88.8,47.0,64.9
2.9,52.3,85.8,47.7,49.2
4.3,63.8,46.0,72.2,48.0
5.5,85.3,92.4,96.2,67.9
7.2,53.1,57.6,58.5,68.6
1.4,92.0,55.4,92.2,50.3
8.2,50.2,38.7,85.8,69.0
6.7,62.3,64.2,54.9,68.7
1.7,87.0,41.5,42.2,35.7
8.9,65.8,49.9,46.1,60.8
9.3,55.1,54.0,83.7,85.1
1.5,68.0,83.5,52.0,60.5
3.5,63.5,87.5,62.3,60.4
8.3,92.1,53.1,70.1,75.2
7.7,65.7,86.5,83.5,75.4
2.7,89.4,86.4,46.8,62.4
2.9,94.6,80.9,64.4,59.4
4.3,71.7,43.8,69.1,42.7
5.4,95.5,76.4,72.4,65.2
6.6,68.9,91.7,89.1,77.9
4.3,98.2,76.0,50.3,59.4
5.2,54.5,54.9,88.5,58.5
7.7,84.4,65.0,81.6,70.2
1.3,74.7,73.7,73.4,48.7
3.3,69.4,65.6,82.0,61.7
7.4,81.6,42.2,64.7,65.8
9.1,85.2,53.7,48.3,72.2
5.6,50.2,83.1,79.9,70.9
5.8,58.3,86.7,71.5,71.1
2.0,85.7,43.2,78.4,56.1
5.0,83.3,92.1,60.3,68.5
5.8,98.3,54.7,94.4,68.4
3.2,88.1,74.7,75.2,56.0
3.4,97.5,80.1,45.1,60.1
4.4,85.1,83.7,67.0,72.4
1.2,64.9,91.7,85.4,64.0
3.9,55.3,53.8,87.6,58.8
2.9,89.1,86.5,69.7,55.4
3.9,82.2,42.9,93.7,62.4
2.1,52.4,77.3,56.1,40.2
9.0,68.0,79.5,64.6,83.1
6.3,97.8,75.7,93.9,76.6
7.1,75.0,50.1,93.8,72.5
8.1,71.6,87.4,81.1,74.4
5.5,72.9,45.1,91.5,66.9
1.8,60.4,38.2,45.3,29.3
5.8,68.4,78.0,91.9,67.8
6.3,68.5,63.5,59.2,58.7
7.7,52.6,85.9,50.7,62.1
4.9,88.4,58.0,54.4,60.9
2.1,70.8,45.1,65.1,53.8
3.6,91.1,85.2,55.1,78.0
4.3,92.5,67.9,59.2,63.3
6.8,60.6,46.4,48.1,62.6
6.1,82.9,78.2,57.8,71.2
4.2,73.6,65.7,74.3,62.8
9.9,94.0,71.3,66.5,83.1
6.5,60.8,62.7,60.8,63.8
3.1,83.9,84.7,84.8,68.4
1.9,80.4,84.8,93.6,59.3
2.4,64.8,77.6,85.4,57.1
3.2,56.8,41.3,59.9,43.6
2.4,82.6,85.3,84.7,67.3
2.7,86.9,75.3,49.1,51.5
3.6,65.8,76.8,47.8,55.7
2.6,82.2,56.8,60.7,61.2
9.1,69.8,87.8,88.5,91.2
1.7,85.7,78.5,54.8,61.6
5.7,60.0,41.8,43.8,51.2
4.7,94.5,59.5,47.9,62.0
9.8,64.4,88.2,91.5,92.4
2.0,68.4,37.8,78.0,51.5
4.6,52.9,92.7,55.2,53.0
9.7,55.6,75.7,73.3,72.2
8.8,75.8,72.9,71.7,85.1
8.4,63.4,51.2,79.3,68.0
3.3,91.8,49.9,54.0,49.6
2.5,50.7,91.5,91.9,53.9
7.0,69.0,52.9,58.6,60.2
9.4,66.9,81.5,81.6,76.0
6.0,51.0,58.6,41.0,65.4
6.1,56.2,43.4,62.4,54.9
3.5,70.7,35.6,61.1,45.9
7.9,74.6,67.7,72.6,76.7
2.7,70.2,93.5,44.4,63.0
3.9,76.5,57.1,87.4,63.9
4.8,79.8,56.4,53.1,63.0
5.6,50.5,55.6,80.6,55.3
3.2,73.2,66.2,88.2,57.4
2.0,98.2,61.4,73.7,60.0
6.5,76.0,87.8,84.5,74.3
3.6,83.9,65.3,79.7,60.9
